ID,Task,Main Role,Starter List,Primary Ownership,Secondary Ownership,Contributor,Related WCAG SC,Level of related WCAG SC
IMG-001,"Informative alternate text is provided for images (i.e. not ""spacer"" or image file name).",Author,"",Content Authoring,User Experience (UX) Design,none,1.1.1,A
IMG-002,Informative images are described with a clear and meaningful text equivalent (alt attribute or other equivalent means).,Author,x,Content Authoring,none,none,1.1.1,A
IMG-003,Purely decorative images are provided with null alt attribute values (or other equivalent means).,Development,"",Front-End Development,Content Authoring,none,1.1.1,A
IMG-004,Null alt attribute values are used for images that are already described in text in adjacent page content.,Development,"",Front-End Development,Content Authoring,none,1.1.1,A
IMG-005,Adjacent linked images and text links pointing the same URL are combined into single links.,Development,"",Front-End Development,User Experience (UX) Design,none,1.1.1,A
IMG-006,Alt text used for images of text include all relevant text found in the image.,Author,"",Content Authoring,none,none,1.1.1,A
IMG-007,"Informative images are marked up as foreground images, and not embedded as part of the CSS.",Development,"",Front-End Development,Content Authoring,none,1.1.1,A
IMG-008,The purpose or function of complex images is accurately described in text.,Author,x,Content Authoring,User Experience (UX) Design,none,1.1.1,A
IMG-009,"The purpose or function of complex images is conveyed using a text description, via an alt attribute.",Development,"",Front-End Development,Content Authoring,User Experience (UX) Design,1.1.1,A
IMG-010,The full explanation of complex images is accurately described in text.,Author,x,Content Authoring,none,none,1.1.1,A
IMG-011,A mechanism that conveys the way through which the full explanation of complex images is defined.,Design,"",User Experience (UX) Design,none,none,1.1.1,A
IMG-012,The full explanation of complex images is provided through the longdesc attribute (or other equivalent means).,Development,"",Front-End Development,none,none,1.1.1,A
IMG-013,"Images primarily conveying function use alternative text to describe their purpose, rather than what they look like.",Author,"",Content Authoring,User Experience (UX) Design,none,1.1.1,A
IMG-014,Text alternatives of static and linked images do not replicate any information that is already being conveyed by screen reader technology.,Author,"",Content Authoring,Front End Development,none,1.1.1,A
IMG-015,Text alternatives of dynamically updated images are simultaneously updated as the images change.,Development,"",Front-End Development,User Experience (UX) Design,Content Authoring,1.1.1,A
